Цельный массив дерева Дуб 1000х600 мм,1,7450.00,1500.00,500.00,7,м²
Клееный массив дерева Дуб 1000х600 мм,1,4520.00,300.00,500.00,7,м²
Шпон облицовочный Дуб натуральный 2750х480 мм,1,2500.00,2000.00,1500.00,19,м²
Фанера 2200х1000 мм,2,2245.00,450.00,1000.00,52,м²
ДСП 2750х1830 мм,2,529.60,1010.00,1200.00,181,м²
МДФ 2070х1400 мм,2,417.24,1550.00,1000.00,87,м²
ДВП 2440х2050 мм,2,187.00,1310.00,1000.00,190,м²
ХДФ 2800x2070 мм,2,370.96,1400.00,1200.00,90,м²
Экокожа 140 см,3,1600.00,1200.00,1500.00,100,пог.м
Велюр 140 см,3,1300.00,1300.00,1500.00,100,пог.м
Шенилл 140 см,3,620.00,950.00,1500.00,100,пог.м
Рогожка 140 см,3,720.00,960.00,1500.00,100,пог.м
Закаленное стекло 2600х1800 мм,4,1148.00,1000.00,500.00,196,м²
Металлокаркас для стула,5,1100.00,300.00,250.00,5,шт
Металлокаркас каркас из профиля с траверсами для стола,5,6700.00,100.00,100.00,1,шт
Колесо для мебели поворотное,6,10.59,1500.00,1000.00,500,шт
Газ-лифт,5,730.00,500.00,250.00,5,шт
Металлическая крестовина для офисных кресел,5,2700.00,500.00,250.00,5,шт
Пластиковый комплект для стула,6,900.00,300.00,250.00,100,шт
Кромка ПВХ,6,35.80,1500.00,1000.00,100,м